Region,Territory,CUSTOMER NAME,CUSTOMER CODE,Sum of Max Coupons
Ahmedabad,Baroda,Avadhoot Agro Sales,10006413,1
Ahmedabad,Baroda,Nirant Agro,10011265,2
Ahmedabad,Himmatnagar,PATIDAR KRUSHI CARE,10020984,12
Ahmedabad,Himmatnagar,Shivam Agro Center,10018201,1
Ahmedabad,Himmatnagar,SHREE RAM FERTILIZERS,10018539,1
Ahmedabad,Himmatnagar,UMA KRUSHI CARE,10019711,1
Ahmedabad,Himmatnagar,Veer Fertilisers,10004213,2
Ahmedabad,Mehsana,Radhe Agro Center,10017356,10
Ahmedabad,Nadiyad,Ved Agro Fertilizer,10005932,2
Ahmedabad,Surat,AMBICA AGRO CHEMICALS,10020544,1
Akola,Amravati,Bajaj Seeds  & Pesticides,10005955,5
Akola,Amravati,BALAJI KRUSHI KENDRA,10021563,1
Akola,Amravati,KRUSHIDEV AGRO AGENCY,10021565,3
Akola,Amravati,KRUSHNARPAN AGRO CENTER,10022565,1
Akola,Amravati,SHIVRAJ AGRI MART,10021922,1
Akola,Amravati,Varad Krushi Kendra,10000314,1
Akola,Basmat Nagar,PATIL TRADERS SENGAON,10018385,2
Akola,Beed,Neha Pesticides,10010722,1
Akola,Beed,SHRI OM SAI AGRO AGENCIES,10018951,2
Akola,Bhandara,Dipali Agro Agency,10003171,1
Akola,Bhandara,Girhepunje Krishi Kendra,10005985,1
Akola,Bhandara,MOHADI AGRO AGENCIES,10022479,9
Akola,Bhandara,SUNIL KRUSHI KENDRA,10022124,1
Akola,Nagpur,AMAR AGRO AGENCIES,10021347,1
Akola,Nagpur,Jagthap Krushi Seva Kendra,10002822,1
Akola,Nagpur,NITIN MARKETING SERVICES PVT. LTD,10021348,39
Akola,Nagpur,SHETKARI AGRO AGENCY,10019142,1
Akola,Nagpur,SHRI AGRO INDIA,10021566,5
Akola,Nagpur,Suprabha Krushi Sewa Kendra,10003932,1
Akola,Nanded,Ganesh Agro Agencies,10005978,1
Akola,Nanded,MANCHALWAD KRUSHI AGENCY,10021499,5
Akola,Sambhajinagar,Sawta Krushi Seva Kendra,10001675,1
Akola,Sambhajinagar,Shree Ganesh Krushi Seva,10005449,1
Bathinda,Abohar,Garg Agro Chemicals,10001552,2
Bathinda,Bathinda,Bassu Ram Ram Lal,10005021,1
Bathinda,Bathinda,FRIENDS KHETI SEWA CENTRE,10021505,1
Bathinda,Bathinda,Puri Pesticides Store,10011005,1
Bathinda,Bathinda,Sanghera Kheti Sewa Centre,10010132,1
Bathinda,Mansa,MALWA KHETI STORE,10018718,2
Bathinda,Mansa,Sidhu Trading Company,10018194,1
Bathinda,Mukatsar,Arora Pesticides & Fertilizers,10005011,1
Bathinda,Mukatsar,BANSAL TRADERS,10019870,1
Bathinda,Mukatsar,Dashmesh Agro Centre,10000889,1
Bathinda,Mukatsar,Kamboj Khad Store,10015230,2
Bathinda,Mukatsar,Punjab Pesticides,10011488,1
Bathinda,Mukatsar,Quality Inputs,10003056,1
Bathinda,Mukatsar,Sekhon Trading Company,10004756,2
Bathinda,Mukatsar,Sham Trading Company,10003058,2
Bathinda,Mukatsar,SIDHU AGRO CENTRE,10019867,1
Davanagere,Chickballapur,Chiranthana Krishi Sewa Kendra,10012772,5
Ghaziabad,Agra,OM TRADERS,10021433,2
Ghaziabad,Aligarh,CROPICIDE SUPPLIERS PVT.LTD,10022378,2
Ghaziabad,Aligarh,Johari Brothers,10005651,1
Ghaziabad,Aligarh,Punjab Beej Bhandar,10016257,12
Ghaziabad,Aligarh,Shankar ji Traders,10013482,5
Ghaziabad,Bijnor,ANIL KHAD BHANDAR,10020911,2
Ghaziabad,Bijnor,BHARAT KRISHI SEVA KENDRA,10019881,15
Ghaziabad,Bijnor,CHAUHAN TRADERS,10019878,1
Ghaziabad,Bijnor,KISHAN SEVA KENDRA,10019915,2
Ghaziabad,Bijnor,SHARMA KHAD BHANDAR,10022576,1
Ghaziabad,Bulandsahar,Bharat Keetnashak Bhandar,10005625,1
Ghaziabad,Bulandsahar,Kisan Krishi Sewa Kendra,10014767,3
Ghaziabad,Bulandsahar,MAHESH KUMAR & BROTHERS,10005668,2
Ghaziabad,Meerut,S S KIRSHI SEWA KENDRA,10022452,8
Ghaziabad,Meerut,Shiwani Trading Company,10001411,1
Ghaziabad,Muzaffar Nagar,Balaji Beej Bhandar,10019236,5
Ghaziabad,Muzaffar Nagar,PRATEEK TRADING COMPANY,10018569,2
Ghaziabad,Rudrapur,CHEEMA PESTICIDES,10021079,1
Ghaziabad,Rudrapur,DASHMESH PESTICIDES,10019957,2
Ghaziabad,Rudrapur,Divisha Enterprises,10014585,1
Ghaziabad,Rudrapur,Guru Teg Bahadur Pesticide & Fertil,10011256,24
Ghaziabad,Rudrapur,GURUNANAK ENTERPRISES,10019992,1
Ghaziabad,Rudrapur,Kumar Enterprises,10000352,1
Ghaziabad,Rudrapur,Madhur Enterprises,10015102,1
Ghaziabad,Rudrapur,SINGH FERTILIZERS,10019956,2
Ghaziabad,Rudrapur,SINGH TRADERS,10020921,3
Ghaziabad,Rudrapur,Utpatti Pesticides & Fertilizers,10021413,1
Ghaziabad,Sahjahanpur,Agarwal Kisan Bazaar,10000758,2
Ghaziabad,Sahjahanpur,DASHMESH KHAD BHANDAR,10021996,1
Ghaziabad,Sahjahanpur,FIRDAUSI KRISHI SEWA KENDRA,10022233,1
Ghaziabad,Sahjahanpur,Guru Nanak Khad Bhandar,10011167,1
Ghaziabad,Sahjahanpur,Harshit Krishi Sewa Kendra,10013497,2
Ghaziabad,Sahjahanpur,NEW DEVAL KHAD BHANDER,10022453,5
Ghaziabad,Sahjahanpur,PANNU PESTICIDES,10021946,2
Ghaziabad,Sahjahanpur,Shankar Khad Bhandar,10011865,1
Ghaziabad,Sahjahanpur,SHYAM FERTILIZERS & PESTICIDES,10022222,5
Guntur,Adoni,RRR AGRO SOLUTION,10022102,1
Guntur,Adoni,Sri Venkatasai Fertilisers,10016238,2
Guntur,Anantapur,DHATRI AGRO TECH,10022636,13
Guntur,Anantapur,Durga Fertiliser,10011115,1
Guntur,Anantapur,Kisan Agri Clinic,10000724,15
Guntur,Anantapur,Lakshmi Ganapathi Traders,10010247,2
Guntur,Anantapur,MANA AGRO AGENCY,10022101,1
Guntur,Anantapur,Pudami Agri Mart,10011607,5
Guntur,Anantapur,S. V. Fertilizers,10016520,2
Guntur,Anantapur,Sathyappa Enterprises,10011617,1
Guntur,Anantapur,SRI ANANTHA PADMANABHA AGRO,10021726,11
Guntur,Anantapur,Sri Lakshmi Nagalingeshwara Fertili,10011806,1
Guntur,Anantapur,Sri Subramaneswara Agro Traders,10001000,1
